id,ime,država,gorovje,višina,širina,dolžina,vrsta,število ogledov,priljubljenost,mesto na lestvici priljubljenosti,število slik,število poti 
1103161,Veronjak / Hausberg,Avstrija,Karavanke,1348,46.4796,14.21194,vrh,433,17,2875.,4,2
1103174,Robič,Slovenija,Karavanke,1384,46.4083,14.3299,vrh,2800,32,2336.,3,5
1103202,Sv. Tomaž nad Vojnikom,Slovenija,Karavanke,444,46.2917,15.3269,"vrh, koča, cerkev",5411,37,2155.,3,2
1103204,Rabenberg,Avstrija,Karavanke,1465,46.4999,14.2144,vrh,395,16,2901.,3,3
1103216,Lubela,Slovenija,Karavanke,778,46.3968,15.1232,vrh,4605,36,2194.,3,2
110322,Koča na Ljubelju,Slovenija,Karavanke,1370,46.43891,14.26649,"koča, sedlo",549807,93,232.,20,3
1103221,Virnikova planina,Slovenija,Karavanke,1160,46.4144,14.4681,planina,2170,30,2430.,5,1
1103222,Robniške peči,Slovenija,Karavanke,1323,46.4122,14.46,vrh,1210,24,2605.,1,2
1103251,Penatca,Slovenija,Karavanke,1299,46.4148,14.3847,vrh,680,20,2759.,2,1
1103252,Črna peč,Slovenija,Karavanke,1447,46.4244,14.4133,vrh,2460,31,2388.,1,1
1103254,Primožkovi hribi,Slovenija,Karavanke,1326,46.40904,14.35241,vrh,1380,25,2570.,3,2
1103255,Kapelica Srca Jezusovega (Jelendol),Slovenija,Karavanke,807,46.3999,14.3445,cerkev,1180,24,2613.,3,1
1103256,Mali Juhej,Slovenija,Karavanke,820,46.39929,14.34404,vrh,782,21,2726.,3,1
1103259,Veliki Juhej,Slovenija,Karavanke,865,46.3999,14.3428,vrh,1620,27,2532.,2,1
1103261,Grobnica barona Borna,Slovenija,Karavanke,800,46.3995,14.3476, ,2040,29,2449.,4,1
1103264,Planina Brsnina,Slovenija,Karavanke,1357,46.4233,14.4301,planina,1730,27,2509.,3,2
1103265,Medvodnica,Slovenija,Karavanke,1202,46.4144,14.4023,vrh,574,19,2805.,2,2
1103266,Hvadnik,Slovenija,Karavanke,920,46.48859,13.8456, ,9870,40,2064.,6,1
1103271,Bela peč (nad Dovjem),Slovenija,Karavanke,1460,46.4757,13.9808,vrh,3630,34,2261.,1,4
1103272,Planina Goreljše,Slovenija,Karavanke,1125,46.4738,13.9735,planina,880,22,2694.,4,1
1103273,Blažčeva skala,Slovenija,Karavanke,1091,46.46944,13.97333,vrh,3000,33,2307.,5,1
110331,Košutnikov turn,"Avstrija, Slovenija",Karavanke,2133,46.44637,14.41031,vrh,715280,98,71.,11,8
1103342,Javorče,Slovenija,Karavanke,1667,46.38255,14.38363,vrh,1300,25,2593.,2,2
1103345,Kozjek (nad Socko),Slovenija,Karavanke,748,46.35722,15.2815,vrh,1660,27,2523.,8,1
1103348,Kršiše,Slovenija,Karavanke,790,46.40289,14.281,vrh,427,16,2880.,3,2
1103351,Stara cerkev sv. Ožbolta (Jezersko),Slovenija,Karavanke,961,46.39491,14.49009,cerkev,2100,29,2440.,4,1
1103411,Jerman,Slovenija,Karavanke,890,46.48809,13.84212, ,2630,32,2359.,3,1
110343,Kofce gora,"Avstrija, Slovenija",Karavanke,1967,46.43108,14.32729,vrh,637403,96,123.,1,6
1103432,Celovška špica,"Avstrija, Slovenija",Karavanke,2102,46.43812,14.18035,vrh,10830,40,2051.,6,2
110344,Veliko Kladivo,"Avstrija, Slovenija",Karavanke,2094,46.43719,14.34402,vrh,641915,97,119.,11,8
110346,Bela peč,Slovenija,Karavanke,1583,46.37761,14.37982,vrh,476079,88,401.,12,10
110347,Planina Spodnja Konjščica,Slovenija,Karavanke,1451,46.38305,14.3661,planina,365111,78,763.,30,5
110348,Ptičji vrh,"Avstrija, Slovenija",Karavanke,1550,46.48527,14.08835,vrh,368409,78,753.,4,2
110354,Bukovec,Slovenija,Karavanke,1506,46.39371,14.44994,vrh,313621,72,954.,3,1
1103551,Cerkev Marije Tolažnice (Brezje nad Žetalami),Slovenija,Karavanke,382,46.27183,15.7852,"vrh, cerkev",183,10,3097.,4,1
1103552,Donačka gora (vzhodni vrh),Slovenija,Karavanke,883,46.26341,15.74759,vrh,1590,26,2538.,2,10
1103553,Joški vrh,Slovenija,Karavanke,595,46.26699,15.73973,vrh,497,17,2844.,2,6
1103567,Dedni vrh (Šuštarica),Slovenija,Karavanke,653,46.28589,15.65327,vrh,326,15,2944.,2,1
110359,Zavetišče na planini Šija,Slovenija,Karavanke,1528,46.42456,14.33543,"koča, planina",481561,89,383.,9,3
110360,Hruški vrh,"Avstrija, Slovenija",Karavanke,1776,46.48134,14.0068,vrh,475373,88,405.,7,9
1103605,Kapelica Marijina roka (Stenica),Slovenija,Karavanke,1055,46.36827,15.31481,cerkev,514,18,2837.,6,2
1103606,Cerkev Marijinega vnebovzetja (Vitanje),Slovenija,Karavanke,472,46.38212,15.29745,cerkev,200,11,3077.,3,1
1103607,Razgledna točka na Stenici,Slovenija,Karavanke,630,46.37824,15.30418, ,348,15,2931.,2,1
110361,Rožca,Slovenija,Karavanke,1587,46.48071,14.01967,"planina, sedlo",427457,84,553.,7,6
1103610,Goležev grad,Slovenija,Karavanke,505,46.37654,15.29305,vrh,299,14,2976.,2,2
1103615,Soteska Mučevo,Slovenija,Karavanke,690,46.48956,14.87471, ,1240,25,2599.,8,2
110362,Klek,"Avstrija, Slovenija",Karavanke,1753,46.48511,14.02485,vrh,502002,91,327.,9,8
110363,Palec,"Avstrija, Slovenija",Karavanke,2026,46.4432,14.21928,vrh,541472,93,246.,11,3
110365,Vošca,"Avstrija, Slovenija",Karavanke,1737,46.51019,13.81842,vrh,516058,91,295.,13,6
110366,Trupejevo poldne,"Avstrija, Slovenija",Karavanke,1931,46.51535,13.86066,vrh,691379,98,86.,15,8
110367,Kresišče,"Avstrija, Slovenija",Karavanke,1839,46.51982,13.89517,vrh,426669,84,557.,4,4
1103670,Cerkev Marije rožnovenske (Črešnjice),Slovenija,Karavanke,512,46.32711,15.34967,cerkev,154,9,3129.,3,1
1103672,Ravnocerje,Slovenija,Karavanke,679,46.27415,15.66432,vrh,157,9,3124.,1,3
1103674,Maceljska gora,"Hrvaška, Slovenija",Karavanke,718,46.26026,15.79765,vrh,627,19,2782.,2,4
110368,Mojstrovica,Slovenija,Karavanke,1816,46.5032,13.894,vrh,383266,80,706.,8,2
110369,Visoki vrh,Slovenija,Karavanke,1828,46.49621,13.88815,vrh,383436,80,704.,7,3
1103700,Stropnik,Slovenija,Karavanke,862,46.38934,15.15458,vrh,277,13,2993.,1,1
1103714,Stropnica,Slovenija,Karavanke,880,46.39223,15.15122,vrh,257,12,3018.,2,2
110376,Vajnež,"Avstrija, Slovenija",Karavanke,2104,46.44309,14.1511,vrh,607191,96,144.,9,5
110377,Bivak na Belščici,Slovenija,Karavanke,1750,46.44441,14.13457,"bivak, planina",374236,79,733.,5,2
110381,Žirovniška planina,Slovenija,Karavanke,1200,46.42419,14.15434,planina,374165,79,735.,5,2
1103815,Brunarica Krmiše,Slovenija,Karavanke,960,46.48902,13.84529,koča,431,17,2877.,3,1
110382,Valvasorjev dom pod Stolom,Slovenija,Karavanke,1181,46.42604,14.14653,koča,631789,96,127.,9,4
110395,Izvir Javornika,Slovenija,Karavanke,1000,46.45898,14.1085,jezero,229991,63,1271.,3,1
1103975,Škrbatnica,Slovenija,Karavanke,473,46.29462,15.69955,vrh,37,4,3326.,2,1
1103976,Sveta Ana nad Stopercami,Slovenija,Karavanke,460,46.29254,15.69753,"vrh, cerkev",36,3,3331.,6,1
1103977,Okrepčevalnica Zelena dolina,Slovenija,Karavanke,360,46.27421,15.69196,koča,40,4,3314.,7,1
1103978,Cerkev Marije Loretske na Ložnem,Slovenija,Karavanke,481,46.2633,15.69062,"vrh, cerkev",45,4,3295.,5,2
1103979,Rančka,Slovenija,Karavanke,615,46.28375,15.56023,vrh,75,7,3220.,2,2
1103980,Turistična kmetija Debelak,Slovenija,Karavanke,405,46.28286,15.5524,"koča, sedlo",70,6,3242.,1,1
1104045,Emmis Mosthütte,Avstrija,Karavanke,815,46.53313,14.7847,koča,9,1,3413.,1,1
110431,Begunjska Vrtača,Slovenija,Karavanke,1991,46.42126,14.243,vrh,497809,90,337.,8,4
110442,Stegovnik,Slovenija,Karavanke,1692,46.39525,14.41993,vrh,573505,95,182.,17,9
110443,Mali Javornik,Slovenija,Karavanke,1685,46.38198,14.41744,vrh,319274,73,934.,2,1
110459,Hrašenska planina,Slovenija,Karavanke,1670,46.45285,14.12208,planina,223156,62,1295.,2,2
110460,Planina Stamare,Slovenija,Karavanke,1400,46.44682,14.11792,planina,345555,76,838.,4,5
110466,Malo Kladivo,"Avstrija, Slovenija",Karavanke,2036,46.43497,14.33821,vrh,427395,84,554.,10,3
110472,Ostra peč / Mallestiger Mittagskogel,Avstrija,Karavanke,1801,46.52433,13.88105,vrh,338804,75,870.,11,4
110478,Dovška Mala Kepa,"Avstrija, Slovenija",Karavanke,2077,46.50309,13.9595,vrh,424272,84,564.,5,1
110479,Gubno,"Avstrija, Slovenija",Karavanke,2035,46.50064,13.96126,vrh,460351,87,446.,4,4
110480,Potoški Stol,"Avstrija, Slovenija",Karavanke,2014,46.43695,14.1537,vrh,483040,89,374.,5,5
110498,Ajdna,Slovenija,Karavanke,1046,46.42098,14.13073,vrh,535875,93,257.,9,7
110504,Rovt Vrse,Slovenija,Karavanke,1200,46.47912,13.94385,planina,303271,71,1000.,7,3
110505,Borovje,Slovenija,Karavanke,1476,46.48051,13.95125,vrh,412656,83,603.,9,3
110507,Dreiländereck Hütte,Avstrija,Karavanke,1423,46.52429,13.72615,"koča, planina, sedlo",358121,77,797.,5,4
110508,Spominska plošča Jožeta Rozmana,Slovenija,Karavanke,1450,46.3768,14.3811, ,157985,55,1550.,1,1
110509,Planina Javornik,Slovenija,Karavanke,1550,46.37633,14.39668,planina,427242,84,556.,5,5
11052,Begunjščica,Slovenija,Karavanke,2060,46.42166,14.22982,vrh,1082990,100,7.,29,14
110525,Lovska koča Stanič,Slovenija,Karavanke,1280,46.4146,14.4528,planina,288796,70,1051.,3,1
110526,Pečovnik,"Avstrija, Slovenija",Karavanke,1640,46.42406,14.44161,vrh,173975,57,1488.,1,2
11053,Stol,"Avstrija, Slovenija",Karavanke,2236,46.43402,14.17362,vrh,1207899,100,4.,23,20
110542,Na Možeh,"Avstrija, Slovenija",Karavanke,1784,46.43351,14.2332,vrh,343247,75,846.,2,1
110543,Boč,Slovenija,Karavanke,978,46.28945,15.59957, ,770457,98,52.,9,18
110554,Planica,Slovenija,Karavanke,1508,46.48348,13.94063,vrh,340994,75,859.,8,3
110557,Jeseniška planina,Slovenija,Karavanke,1380,46.47865,14.03035,planina,266399,67,1134.,4,2
110560,Ojstrc / Hochobir,Avstrija,Karavanke,2139,46.50599,14.48724,vrh,579850,95,171.,21,6
110561,Obirska planina,Avstrija,Karavanke,1272,46.492,14.50862,planina,231965,63,1264.,2,2
110562,Kapelška koča / Eisenkappler Hütte,Avstrija,Karavanke,1553,46.50176,14.51047,"koča, planina",265718,67,1137.,7,7
110581,Ovčji vrh (Kozjak) / Geissberg (Kosiak),Avstrija,Karavanke,2024,46.45315,14.18153,vrh,476788,89,396.,17,8
110582,Celovška koča / Klagenfurter Hutte,Avstrija,Karavanke,1664,46.44687,14.18302,"koča, planina",451151,86,474.,13,5
110583,Vgrizeva planina / Ogrisalm,Avstrija,Karavanke,1569,46.45645,14.19807,planina,205446,60,1368.,6,4
110585,Planina Seča,Slovenija,Karavanke,1698,46.46073,14.1299,"planina, sedlo",314980,72,949.,4,3
110586,Svačica,"Avstrija, Slovenija",Karavanke,1953,46.44412,14.19124,vrh,440698,85,516.,12,9
110591,Poštarski dom pod Plešivcem,Slovenija,Karavanke,805,46.49617,15.01269,koča,403309,82,636.,6,4
110592,Uršlja gora (Plešivec),Slovenija,Karavanke,1699,46.48555,14.96149,"vrh, koča, cerkev",892413,99,28.,29,15
110613,Železna (Kisla) voda,Slovenija,Karavanke,1115,46.43079,14.64336, ,259405,66,1162.,4,1
110614,Sveti Duh pod Olševo,Slovenija,Karavanke,1232,46.43483,14.65971,cerkev,281859,69,1074.,3,1
110665,Kordeževa glava (Peca),"Avstrija, Slovenija",Karavanke,2125,46.50023,14.77993,vrh,903390,99,26.,12,22
110670,Dom na Peci,Slovenija,Karavanke,1665,46.49114,14.79406,"koča, cerkev",535777,93,256.,13,7
110671,Votlina Kralja Matjaža,Slovenija,Karavanke,1670,46.4875,14.797, ,376999,79,724.,5,3
110672,Mala Peca,Slovenija,Karavanke,1731,46.49229,14.79182,vrh,358995,77,791.,3,3
110673,Govca (Olševa),Slovenija,Karavanke,1929,46.44953,14.68571,vrh,708767,98,75.,13,14
110674,Potočka zijalka,Slovenija,Karavanke,1660,46.44955,14.67117, ,513709,91,299.,9,3
110680,Pristovški Storžič / Kärntner Storschitz,Avstrija,Karavanke,1759,46.43132,14.52549,vrh,571298,94,191.,19,4
110692,Zelenjak,"Avstrija, Slovenija",Karavanke,2024,46.44269,14.21524,vrh,494105,90,352.,6,3
11071,Planina Korošica,Slovenija,Karavanke,1554,46.43416,14.29156,"koča, planina",654657,97,104.,15,6
11072,Košutica,"Avstrija, Slovenija",Karavanke,1968,46.43892,14.29909,vrh,613498,96,138.,14,8
110720,Setiče/Freiberg,Avstrija,Karavanke,1922,46.48881,14.40935,vrh,348154,76,833.,5,1
110721,Grlovec / Ferlacher Horn,Avstrija,Karavanke,1840,46.48666,14.31398,vrh,355343,77,807.,20,6
11074,Veliki vrh (Košuta),"Avstrija, Slovenija",Karavanke,2088,46.43068,14.30956,vrh,925526,99,22.,15,9
110740,Dom na Paškem Kozjaku,Slovenija,Karavanke,960,46.38429,15.18832,koča,416969,83,589.,1,1
110741,Špik (Paški Kozjak),Slovenija,Karavanke,1108,46.38724,15.18658,vrh,403501,82,635.,1,1
110742,Basališče (Paški Kozjak),Slovenija,Karavanke,1272,46.39023,15.24015,vrh,478941,89,388.,4,3
110759,Sinski vrh / Sinacher Gupf,Avstrija,Karavanke,1577,46.49439,14.19209,vrh,218845,62,1314.,14,4
110760,Žingarica / Singerberg,Avstrija,Karavanke,1589,46.50054,14.25848,vrh,237977,64,1242.,9,6
110761,Dom na Boču,Slovenija,Karavanke,698,46.28347,15.59412,"koča, cerkev",459553,87,447.,7,11
11078,Vrtača,"Avstrija, Slovenija",Karavanke,2181,46.43992,14.21226,vrh,841686,99,38.,17,12
110805,Polna peč,Slovenija,Karavanke,1503,46.4389,14.25617,vrh,336381,75,877.,7,2
110827,Andrejev dom na Slemenu,Slovenija,Karavanke,1086,46.43816,14.96475,koča,480907,89,384.,6,4
110837,Donačka gora,Slovenija,Karavanke,884,46.26268,15.7423,vrh,686180,97,88.,7,11
110838,Rudijev dom na Donački gori,Slovenija,Karavanke,590,46.26447,15.73468,koča,329040,74,893.,4,5
110846,Mornova zijalka,Slovenija,Karavanke,550,46.41277,14.97437, ,269793,67,1122.,3,1
110847,Sveti Donat,Slovenija,Karavanke,511,46.25794,15.73851,cerkev,202389,60,1380.,3,1
11088,Žleb (Suho ruševje),"Avstrija, Slovenija",Karavanke,1916,46.44258,14.21709,sedlo,405469,82,626.,2,1
110883,Stolpnik,Slovenija,Karavanke,1012,46.33448,15.36826,vrh,506901,91,313.,9,16
110884,Skala,Slovenija,Karavanke,750,46.32526,15.41553,vrh,350136,76,826.,2,3
110885,Grad Konjice,Slovenija,Karavanke,515,46.33585,15.40977,vrh,234267,64,1256.,2,2
11091,Dom na Zelenici,Slovenija,Karavanke,1536,46.42899,14.23357,koča,735649,98,61.,19,6
11092,Vrh Ljubeljščice (Triangel),Slovenija,Karavanke,1704,46.43219,14.23721,vrh,521948,92,283.,9,3
11097,Kepa,"Avstrija, Slovenija",Karavanke,2143,46.50679,13.95249,vrh,709090,98,73.,35,9
1150163,Mejni kamen A 115,"Madžarska, Slovenija",Prekmurje,353,46.87665,16.23322, ,745,21,2738.,6,7
12802980,Bobotov kuk,Črna gora,Durmitor,2523,43.1285,19.0345,vrh,13650,41,2027.,7,2
12802981,Prutaš,Črna gora,Durmitor,2393,43.1264,19.0018,vrh,3850,35,2237.,8,1
131301,Kota 1313,Slovenija,Julijske Alpe,1313,46.36066,13.57516,vrh,393528,81,668.,2,1
13202091,Szent Gyoergy Hegy,Madžarska,Zahodna Madžarska,415,46.8411,17.4483,vrh,50303,43,1968.,5,1
13202121,Badacsony,Madžarska,Zahodna Madžarska,438,46.80318,17.49626,vrh,52720,43,1956.,2,3
13202122,Gulacs,Madžarska,Zahodna Madžarska,393,46.82946,17.50103,vrh,47561,43,1978.,3,2
13202156,Köris Hegy,Madžarska,Zahodna Madžarska,709,47.2941,17.7536, ,55001,43,1948.,1,1
13203309,Irrotkő / Geschriebenstein,"Avstrija, Madžarska",Zahodna Madžarska,882,47.35272,16.43391,vrh,467,17,2858.,5,3
13203562,Hubertus vadászház,Madžarska,Zahodna Madžarska,285,46.56089,17.01679,koča,127,9,3152.,2,2
13203657,Hahót hegy,Madžarska,Zahodna Madžarska,333,46.62286,16.87063,vrh,54,5,3265.,1,1
13203685,Katin breg / Katalin-hegy,Madžarska,Zahodna Madžarska,367,46.87753,16.22761,vrh,117,8,3160.,5,4
13203765,Jezero Haršaš / Hársas tó,Madžarska,Zahodna Madžarska,233,46.93388,16.31287,"koča, jezero",109,8,3173.,10,3
13203766,Kapela Brenner / Brenner Kápolna,Madžarska,Zahodna Madžarska,264,46.9432,16.28806,cerkev,36,3,3327.,8,2
13203817,Hegyesd,Madžarska,Zahodna Madžarska,281,46.91388,17.51151,vrh,45,4,3293.,4,2
13203819,Csobánc,Madžarska,Zahodna Madžarska,376,46.87116,17.50395,vrh,51,5,3273.,2,1
13203948,Mali Triglav (Andovci) / Kis Triglav (Orfalu),Madžarska,Zahodna Madžarska,318,46.88165,16.26263, ,79,7,3215.,5,2
13204039,Kab-hegy,Madžarska,Zahodna Madžarska,599,47.04604,17.65659,vrh,23,2,3375.,1,1
13302648,Turul Emlekmű,Madžarska,Osrednja Madžarska,290,47.5878,18.4083, ,635,20,2772.,2,2
13302911,Kömosó hegy,Madžarska,Osrednja Madžarska,325,,, ,184,10,3095.,2,2
13302914,Cseszneki Var,Madžarska,Osrednja Madžarska,335,47.351,17.8812, ,306,14,2966.,2,1
13303190,Dobogó Kő,Madžarska,Osrednja Madžarska,699,,,"vrh, planina",391,16,2904.,4,2
13303998,Almán-Tető,Madžarska,Osrednja Madžarska,317,46.77212,17.88113,vrh,42,4,3307.,1,2
13402090,Kekes / Kékestető,Madžarska,Severovzhodna Madžarska,1014,47.8725,20.008,vrh,153054,55,1565.,1,7
13402425,Galyatető,Madžarska,Severovzhodna Madžarska,964,47.98194,20.5486,vrh,1020,23,2655.,2,1
13503661,Zengő (Mecsek),Madžarska,Južna Madžarska,682,46.1799,18.37759,vrh,182,10,3098.,3,2
13802532,Hochlantsch,Avstrija,Hribovje vzhodno od Mure,1722,47.36296,15.42404,"vrh, slap, koča",7189,39,2099.,10,4
13802764,Stradner Kogel,Avstrija,Hribovje vzhodno od Mure,609,46.84526,15.93184,vrh,592,19,2800.,6,2
13802796,Grad Riegersburg / Burg Riegersburg,Avstrija,Hribovje vzhodno od Mure,475,47.0049,15.9322,"vrh, koča",1150,24,2622.,12,2
13803181,Stubenberghaus,Avstrija,Hribovje vzhodno od Mure,1430,47.1977,15.4663,koča,525,18,2827.,2,1
13803182,Schöckl,Avstrija,Hribovje vzhodno od Mure,1445,47.1983,15.45987,vrh,2400,31,2395.,7,2
13803438,Wegkapelle Kölbereck,Avstrija,Hribovje vzhodno od Mure,355,46.86554,16.09344,cerkev,142,9,3139.,1,1
13803586,Rote Wand,Avstrija,Hribovje vzhodno od Mure,1505,47.33333,15.40664,vrh,938,22,2678.,11,3
13803594,Gschwendt (Gschwendtberg),Avstrija,Hribovje vzhodno od Mure,1000,47.28507,15.34576,vrh,67,6,3236.,6,1
13803595,Heulantsch,Avstrija,Hribovje vzhodno od Mure,1473,47.35805,15.48137,vrh,155,9,3127.,6,5
13803620,Zachenkreuz,Avstrija,Hribovje vzhodno od Mure,1601,47.36539,15.44484,vrh,129,9,3151.,0,1
13803621,Zum Guten Hirten,Avstrija,Hribovje vzhodno od Mure,1209,,,koča,57,5,3262.,2,1
13803624,Gasthaus Steirischer Jockl,Avstrija,Hribovje vzhodno od Mure,1398,47.36103,15.41222,koča,123,8,3158.,2,1
13803625,Schüsserlbrunn,Avstrija,Hribovje vzhodno od Mure,1358,47.36122,15.41341,cerkev,82,7,3206.,2,1
13803626,Teichalmsee,Avstrija,Hribovje vzhodno od Mure,1168,47.34992,15.4619,"koča, jezero, planina",279,13,2998.,9,1
13803638,Berggasthof Mönichkirchner-Schwaig,Avstrija,Hribovje vzhodno od Mure,1185,47.51858,16.00859,"koča, jezero, planina, sedlo",42,4,3303.,2,1
13803640,Hallerhaus am Wechsel,Avstrija,Hribovje vzhodno od Mure,1350,47.51648,15.99238,koča,50,5,3274.,2,1
13803641,Kulinarik zur Stoa Alm,Avstrija,Hribovje vzhodno od Mure,1423,47.51753,15.98689,koča,70,6,3229.,3,1
13803643,Steinerne Stiege,Avstrija,Hribovje vzhodno od Mure,1505,47.51772,15.98147,vrh,79,7,3212.,1,1
13803644,Niederwechsel,Avstrija,Hribovje vzhodno od Mure,1669,47.5181,15.95207,vrh,167,10,3115.,9,1
13803645,Hochwechsel,Avstrija,Hribovje vzhodno od Mure,1743,47.53031,15.91384,"vrh, koča, planina, cerkev",445,17,2868.,17,4
13803646,Vorauer Schwaig,Avstrija,Hribovje vzhodno od Mure,1509,47.51143,15.95674,"koča, planina",54,5,3264.,2,1
13803651,Badesee (Rechnitz),Avstrija,Hribovje vzhodno od Mure,363,47.31771,16.43708,jezero,144,9,3137.,4,1
13803652,Donatikappele (nad krajem Rechnitz),Avstrija,Hribovje vzhodno od Mure,497,47.31684,16.4288,"vrh, cerkev",45,5,3291.,5,2
13803654,Kulmkögerl (Kulmgipfel),Avstrija,Hribovje vzhodno od Mure,866,47.23601,15.76989,vrh,53,5,3267.,3,1
13803655,Kulm,Avstrija,Hribovje vzhodno od Mure,975,47.22494,15.75873,vrh,234,12,3039.,7,1
13803656,Mariabrunn,Avstrija,Hribovje vzhodno od Mure,940,47.22553,15.75776,cerkev,46,5,3286.,2,1
13803658,Stubenbergsee,Avstrija,Hribovje vzhodno od Mure,380,47.23201,15.79858,jezero,91,7,3193.,9,1
13803659,Königsberg,Avstrija,Hribovje vzhodno od Mure,462,46.78309,15.95952,vrh,75,7,3218.,4,2
13803663,Schloss Kapelle,Avstrija,Hribovje vzhodno od Mure,461,46.89409,15.97524,cerkev,62,6,3247.,5,8
13803664,Kapfensteiner Kogel,Avstrija,Hribovje vzhodno od Mure,473,46.89194,15.97543,vrh,67,6,3237.,8,8
13803665,Mühlsteinbruch,Avstrija,Hribovje vzhodno od Mure,491,46.88818,15.9148,vrh,49,5,3281.,5,1
13803666,Gleichenberger Kogel,Avstrija,Hribovje vzhodno od Mure,598,46.89212,15.90824,vrh,100,8,3180.,4,3
13803676,Sveta Ana pri Igu / Sankt Anna am Aigen,Avstrija,Hribovje vzhodno od Mure,403,46.83021,15.97386,"vrh, koča, cerkev",162,10,3119.,5,4
13803678,Bschaidkogel,Avstrija,Hribovje vzhodno od Mure,563,46.89389,15.9168,vrh,44,4,3297.,2,2
13803689,Stražni stolp nad Eisenbergom,"Avstrija, Madžarska",Hribovje vzhodno od Mure,376,46.88529,16.13877,vrh,79,7,3213.,5,1
13803690,Holzmannkogel,Avstrija,Hribovje vzhodno od Mure,393,46.8749,16.11537,vrh,72,6,3225.,2,5
13803695,Harterberg (Hoaterberg),Avstrija,Hribovje vzhodno od Mure,1036,47.28665,15.38952,vrh,35,3,3333.,3,1
13803698,Hochtrötsch (Trötsch),Avstrija,Hribovje vzhodno od Mure,1239,47.26021,15.36945,vrh,52,5,3272.,7,1
13803748,Großer Hirschenstein,Avstrija,Hribovje vzhodno od Mure,862,47.34542,16.37901,vrh,40,4,3313.,3,3
13803755,Stuhleck,Avstrija,Hribovje vzhodno od Mure,1782,47.57415,15.78995,"vrh, koča, planina",544,18,2821.,9,2
13803756,Grazer Stuhleck,Avstrija,Hribovje vzhodno od Mure,1635,47.55844,15.76369,vrh,117,8,3161.,2,2
13803757,Geiereck,Avstrija,Hribovje vzhodno od Mure,1644,47.55435,15.75082,vrh,58,6,3254.,2,2
13803758,Peter-Bergner-Warte (Pretul),Avstrija,Hribovje vzhodno od Mure,1656,47.54975,15.74382,vrh,76,7,3217.,7,2
13803759,Roseggerhaus,Avstrija,Hribovje vzhodno od Mure,1586,47.54577,15.73958,"koča, planina",66,6,3239.,6,1
13803760,Amundsenhöhe,Avstrija,Hribovje vzhodno od Mure,1666,47.55163,15.73162,vrh,80,7,3209.,6,2
13803761,Moschkogelhütte,Avstrija,Hribovje vzhodno od Mure,1582,47.55904,15.74554,"koča, planina",46,5,3287.,1,2
13803762,Grabmayr-Kogel,Avstrija,Hribovje vzhodno od Mure,1495,47.56761,15.82144,vrh,46,5,3288.,2,2
13803763,Großer Pfaff,Avstrija,Hribovje vzhodno od Mure,1555,47.56201,15.82618,vrh,77,7,3216.,5,3
13803764,Kleiner Pfaff,Avstrija,Hribovje vzhodno od Mure,1539,47.56568,15.82131,vrh,46,5,3289.,6,2
13803854,Kranichberger Schwaig,Avstrija,Hribovje vzhodno od Mure,1530,47.56379,15.90456,"koča, planina",21,2,3378.,2,1
13803855,Arabichl,Avstrija,Hribovje vzhodno od Mure,1595,47.56366,15.91392,vrh,41,4,3309.,3,1
13803856,Schöberlriegel,Avstrija,Hribovje vzhodno od Mure,1704,47.55418,15.90259,vrh,53,5,3268.,1,1
13803857,Umschussriegel,Avstrija,Hribovje vzhodno od Mure,1720,47.54619,15.90178,vrh,45,4,3294.,4,1
13803859,Harterkogel,Avstrija,Hribovje vzhodno od Mure,1523,47.56359,15.84097,vrh,35,3,3335.,3,2
13803865,Untere Holdahütte,Avstrija,Hribovje vzhodno od Mure,1282,47.46837,15.64317,planina,27,3,3359.,5,2
13803866,Teufelsteinalm,Avstrija,Hribovje vzhodno od Mure,1390,47.45997,15.62107,planina,27,3,3360.,2,3
13803867,Teufelstein,Avstrija,Hribovje vzhodno od Mure,1498,47.46544,15.62034,vrh,59,6,3252.,9,3
13803868,Edelweißhütte auf der Waldtonialm,Avstrija,Hribovje vzhodno od Mure,1189,47.47635,15.66245,"koča, planina",27,2,3361.,9,1
13803870,Tyrnauer Almhütte,Avstrija,Hribovje vzhodno od Mure,1318,47.34091,15.42789,"koča, planina",41,4,3310.,6,2
13803872,Gerlerkogel,Avstrija,Hribovje vzhodno od Mure,1324,47.33324,15.46536,vrh,58,6,3255.,5,4
13803873,Plankogel,Avstrija,Hribovje vzhodno od Mure,1531,47.35498,15.55815,vrh,99,8,3181.,5,5
13803874,Sommeralm,Avstrija,Hribovje vzhodno od Mure,1404,47.34473,15.55236,"planina, sedlo, cerkev",80,7,3210.,3,6
13803875,Bründlkogel,Avstrija,Hribovje vzhodno od Mure,1436,47.33377,15.5545,vrh,63,6,3244.,4,3
13803876,Osser,Avstrija,Hribovje vzhodno od Mure,1548,47.34422,15.50106,vrh,63,6,3245.,6,4
13803877,Haberlstall Alm,Avstrija,Hribovje vzhodno od Mure,1348,47.36521,15.53357,"koča, planina, sedlo",54,5,3266.,4,5
13803878,Zechnerschlag (Rohregg),Avstrija,Hribovje vzhodno od Mure,1434,47.36954,15.53571,vrh,50,5,3278.,4,5
13803882,Mitterbachkogel,Avstrija,Hribovje vzhodno od Mure,1401,47.37979,15.54033,vrh,35,3,3336.,3,1
